team,org,team_size,response_rate,response_count,mean_age,mean_tenure,mean_team_history,mean_voice_behavior,mean_team_coordination,mean_team_effectiveness
5xOnMXW,oXoqeP0,3,1.0,3,24.0,4.0,20.33,3.45,3.47,4.67
JlBq3PN,Kl3zeP6,4,0.75,3,25.0,2.0,14.0,3.28,3.0,5.87
rX1wnPb,ylrepPL,6,0.83,5,29.2,4.0,11.6,3.77,3.28,4.76
5xOnqXW,2PJKklO,3,0.67,2,29.5,9.5,6.0,4.08,3.2,4.85
KPjegx7,VxWvAXy,4,0.75,3,24.33,3.0,8.33,4.55,3.2,4.9
WXz0pPm,0xAoGlQ,4,0.75,3,28.67,4.67,11.67,3.61,3.07,4.57
zP7KKP8,5xO2qXW,6,0.67,4,24.0,3.75,4.25,4.17,3.25,6.35
5P88oP9,5xO2qXW,7,0.86,6,26.5,6.42,19.67,4.28,3.4,5.85
4xdmYPE,5P8oox9,3,1.0,3,29.67,8.33,5.0,4.33,3.93,6.27
YXmyDXN,k7lkqxD,3,0.67,2,25.0,3.0,14.0,4.17,3.0,6.0
DPpkGx8,k7lkqxD,4,0.75,3,23.0,1.67,5.67,3.78,3.33,5.33
8xNAJXm,yEXnYlg,5,1.0,5,23.8,5.0,32.4,3.57,3.16,5.7
ml4MwXj,GVX26X9,5,0.8,4,22.75,4.0,29.5,3.62,2.8,5.48
gxwyalv,M8xNJxm,3,1.0,3,28.67,4.0,11.0,4.33,3.47,5.6
ylrepPL,M8xNJxm,3,0.67,2,30.0,4.5,19.0,3.83,3.5,5.25
2PJKklO,M8xNJxm,3,1.0,3,23.0,0.33,3.0,4.39,3.33,6.17
VxWvAXy,M8xNJxm,6,0.83,5,30.2,7.2,13.4,4.07,3.12,5.42
0xAoGlQ,3Bl6Nlb,3,0.67,2,27.0,4.5,12.0,4.92,3.2,5.45
rX1dnlb,3Bl6Nlb,5,0.8,4,26.25,5.75,38.0,3.88,3.5,6.18
5xO2qXW,3Bl6Nlb,6,0.5,3,24.67,3.33,21.33,3.33,2.93,4.13
JlBJYlN,3Bl6Nlb,6,1.0,6,35.33,6.25,34.83,3.5,2.97,4.68
